BikeID,Duration,Start date,End date,Start station number,,End station number,End station,Bike number,Member type
528591,552,01/01/2018 00:05,01/01/2018 00:14,31104,Adams Mill & Columbia Rd NW,31400,Georgia & New Hampshire Ave NW,W00886,Member
528592,1282,01/01/2018 00:14,01/01/2018 00:35,31321,15th St & Constitution Ave NW,31321,15th St & Constitution Ave NW,W01435,Casual
528593,1265,01/01/2018 00:14,01/01/2018 00:35,31321,15th St & Constitution Ave NW,31321,15th St & Constitution Ave NW,W21242,Casual
528594,578,01/01/2018 00:15,01/01/2018 00:25,31406,14th & Upshur St NW,31103,16th & Harvard St NW,W21322,Casual
528595,372,01/01/2018 00:18,01/01/2018 00:24,31618,4th & East Capitol St NE,31619,Lincoln Park / 13th & East Capitol St NE,W00119,Member
528596,369,01/01/2018 00:18,01/01/2018 00:24,31618,4th & East Capitol St NE,31619,Lincoln Park / 13th & East Capitol St NE,W21076,Member
528597,486,01/01/2018 00:19,01/01/2018 00:27,31042,Market Square / King St & Royal St,31098,King St Metro North / Cameron St,W21048,Member
528598,1615,01/01/2018 00:21,01/01/2018 00:48,31042,Market Square / King St & Royal St,31045,Commerce St & Fayette St,W21512,Member
528599,1598,01/01/2018 00:22,01/01/2018 00:48,31042,Market Square / King St & Royal St,31045,Commerce St & Fayette St,W23278,Member
528600,483,01/01/2018 00:22,01/01/2018 00:30,31115,Columbia Rd & Georgia Ave NW,31509,New Jersey Ave & R St NW,W21437,Member
528601,293,01/01/2018 00:23,01/01/2018 00:28,31646,Maine Ave & 9th St SW,31108,4th & M St SW,W00800,Member
528602,1014,01/01/2018 00:25,01/01/2018 00:42,31042,Market Square / King St & Royal St,31916,Potomac & Swann Ave,W22386,Member
528603,571,01/01/2018 00:26,01/01/2018 00:35,31602,Park Rd & Holmead Pl NW,31202,14th & R St NW,W00874,Member
528604,1281,01/01/2018 00:27,01/01/2018 00:48,31042,Market Square / King St & Royal St,31045,Commerce St & Fayette St,W01290,Member
528605,347,01/01/2018 00:28,01/01/2018 00:34,31114,18th St & Wyoming Ave NW,31202,14th & R St NW,W00112,Member
528606,717,01/01/2018 00:33,01/01/2018 00:45,31111,10th & U St NW,31285,22nd & P ST NW,W22760,Member
528607,710,01/01/2018 00:33,01/01/2018 00:45,31111,10th & U St NW,31285,22nd & P ST NW,W00604,Member
528608,1762,01/01/2018 00:34,01/01/2018 01:03,31041,Prince St & Union St,31918,Madison & Fairfax St,W22997,Casual
528609,288,01/01/2018 00:36,01/01/2018 00:41,31019,Wilson Blvd & N Edgewood St,31079,Lee Hwy & N Cleveland St,W01356,Member
528610,1579,01/01/2018 00:37,01/01/2018 01:03,31041,Prince St & Union St,31918,Madison & Fairfax St,W20613,Casual
528611,542,01/01/2018 00:37,01/01/2018 00:46,31103,16th & Harvard St NW,31111,10th & U St NW,W00621,Member
528612,407,01/01/2018 00:37,01/01/2018 00:44,31116,California St & Florida Ave NW,31203,14th & Rhode Island Ave NW,W23304,Member
528613,288,01/01/2018 00:38,01/01/2018 00:43,31114,18th St & Wyoming Ave NW,31299,Connecticut Ave & R St NW,W21968,Member
528614,189,01/01/2018 00:39,01/01/2018 00:42,31278,18th & R St NW,31114,18th St & Wyoming Ave NW,W23285,Member
528615,570,01/01/2018 00:39,01/01/2018 00:48,31114,Start station,31201,15th & P St NW,W00335,Member
