Id,Financial Year,Financial Quarter,Force Name,Offence Description,Offence Group,Offence Subgroup,Offence Code,Number of Offences
465730,2011/12,1,Action Fraud,Fraud offences recorded by Action Fraud,Fraud offences,Fraud: Action Fraud,AF,8140
465731,2011/12,1,CIFAS,Fraud offences recorded by CIFAS,Fraud offences,Fraud: CIFAS,CIFAS,52334
465732,2011/12,1,Financial Fraud Action UK,Fraud offences recorded by Financial Fraud Action UK,Fraud offences,Fraud: Financial Fraud Action UK,FFA UK,34266
465733,2011/12,1,Avon and Somerset,Abandoning child under the age of two years,Violence against the person,Violence without injury,12,0
465734,2011/12,1,Avon and Somerset,Absconding from lawful custody,Miscellaneous crimes against society,Miscellaneous crimes against society,80,5
465735,2011/12,1,Avon and Somerset,Abuse of children through prostitution and pornography,Sexual offences,Other sexual offences,71,0
465736,2011/12,1,Avon and Somerset,Abuse of position of trust of a sexual nature,Sexual offences,Other sexual offences,73,0
465737,2011/12,1,Avon and Somerset,Actually bodily harm and other injury,Violence against the person,Violence with injury,8G,2325
465738,2011/12,1,Avon and Somerset,Adulteration of food,Miscellaneous crimes against society,Miscellaneous crimes against society,89,0
465739,2011/12,1,Avon and Somerset,Aggravated burglary in a building other than a dwelling,Theft offences,Non-domestic burglary,31,1
465740,2011/12,1,Avon and Somerset,Aggravated burglary in a dwelling,Theft offences,Domestic burglary,29,10
465741,2011/12,1,Avon and Somerset,Aggravated vehicle taking,Theft offences,Vehicle offences,37.2,52
465742,2011/12,1,Avon and Somerset,Aiding suicide,Miscellaneous crimes against society,Miscellaneous crimes against society,76,0
465743,2011/12,1,Avon and Somerset,Arson endangering life,Criminal damage and arson,Arson,56A,25
465744,2011/12,1,Avon and Somerset,Arson not endangering life,Criminal damage and arson,Arson,56B,218
465745,2011/12,1,Avon and Somerset,Assault without injury,Violence against the person,Violence without injury,105A,1753
465746,2011/12,1,Avon and Somerset,Assault without injury on a constable,Violence against the person,Violence without injury,104,132
465747,2011/12,1,Avon and Somerset,Attempted burglary in a building other than a dwelling,Theft offences,Non-domestic burglary,30B,257
465748,2011/12,1,Avon and Somerset,Attempted burglary in a dwelling,Theft offences,Domestic burglary,28B,194
465749,2011/12,1,Avon and Somerset,Attempted distraction burglary in a dwelling,Theft offences,Domestic burglary,28D,2
465750,2011/12,1,Avon and Somerset,Attempted murder,Violence against the person,Violence with injury,2,5
465751,2011/12,1,Avon and Somerset,Bail offences,Miscellaneous crimes against society,Miscellaneous crimes against society,83,0
